Make;Model;Displ;Cyl;Trans;Drive;Fuel;Year
FIAT;500L;1.4;4;Man-6;2WD;Gasoline;2016
FIAT;500X;1.4;4;Man-6;2WD;Gasoline;2016
FIAT;500X;2.4;4;Auto-9;2WD;Gasoline;2016
FIAT;500X;2.4;4;Auto-9;4WD;Gasoline;2016
FIAT;500e;N/A;N/A;Auto-1;2WD;Electricity;2016
FORD;C-MAX Energi Plug-In Hybrid;2;4;CVT;2WD;Gasoline/Electricity;2016
FORD;C-MAX Hybrid;2;4;CVT;2WD;Gasoline;2016
FORD;Edge;2;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Edge;2;4;SemiAuto-6;4WD;Gasoline;2016
FORD;Edge;2.7;6;SemiAuto-6;4WD;Gasoline;2016
FORD;Edge;3.5;6;SemiAuto-6;2WD;Gasoline;2016
FORD;Edge;3.5;6;SemiAuto-6;4WD;Gasoline;2016
FORD;Escape;1.6;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Escape;1.6;4;SemiAuto-6;4WD;Gasoline;2016
FORD;Escape;2;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Escape;2;4;SemiAuto-6;4WD;Gasoline;2016
FORD;Escape;2.5;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Expedition;3.5;6;SemiAuto-6;2WD;Gasoline;2016
FORD;Expedition;3.5;6;SemiAuto-6;4WD;Gasoline;2016
FORD;Expedition EL;3.5;6;SemiAuto-6;2WD;Gasoline;2016
FORD;Expedition EL;3.5;6;SemiAuto-6;4WD;Gasoline;2016
FORD;Explorer;2.3;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Explorer;2.3;4;SemiAuto-6;4WD;Gasoline;2016
FORD;Explorer;3.5;6;SemiAuto-6;2WD;Gasoline;2016
FORD;Explorer;3.5;6;SemiAuto-6;4WD;Gasoline;2016
FORD;Explorer FFV;3.5;6;SemiAuto-6;2WD;Ethanol/Gas;2016
FORD;Explorer FFV;3.5;6;SemiAuto-6;4WD;Ethanol/Gas;2016
FORD;F150;2.7;6;SemiAuto-6;2WD;Gasoline;2016
FORD;F150;2.7;6;SemiAuto-6;4WD;Gasoline;2016
FORD;F150;3.5;6;SemiAuto-6;2WD;Gasoline;2016
FORD;F150;3.5;6;SemiAuto-6;4WD;Gasoline;2016
FORD;F150 FFV;3.5;6;Auto-6;2WD;Ethanol/Gas;2016
FORD;F150 FFV;3.5;6;Auto-6;4WD;Ethanol/Gas;2016
FORD;F150 FFV;5;8;SemiAuto-6;2WD;Ethanol/Gas;2016
FORD;F150 FFV;5;8;SemiAuto-6;4WD;Ethanol/Gas;2016
FORD;Fiesta;1.6;4;AMS-6;2WD;Gasoline;2016
FORD;Fiesta;1.6;4;Man-5;2WD;Gasoline;2016
FORD;Fiesta SFE;1;3;Man-5;2WD;Gasoline;2016
FORD;Fiesta ST;1.6;4;Man-6;2WD;Gasoline;2016
FORD;Flex;3.5;6;SemiAuto-6;2WD;Gasoline;2016
FORD;Flex;3.5;6;SemiAuto-6;4WD;Gasoline;2016
FORD;Focus;1;3;Man-6;2WD;Gasoline;2016
FORD;Focus;1;3;SemiAuto-6;2WD;Gasoline;2016
FORD;Focus;2;4;AMS-6;2WD;Gasoline;2016
FORD;Focus;2;4;AutoMan-6;2WD;Gasoline;2016
FORD;Focus;2;4;Man-5;2WD;Gasoline;2016
FORD;Focus Electric;N/A;N/A;Auto-1;2WD;Electricity;2016
FORD;Focus FFV;2;4;AMS-6;2WD;Ethanol/Gas;2016
FORD;Focus FFV;2;4;AutoMan-6;2WD;Ethanol/Gas;2016
FORD;Focus FFV;2;4;Man-5;2WD;Ethanol/Gas;2016
FORD;Focus RS;2.3;4;Man-6;4WD;Gasoline;2016
FORD;Focus ST;2;4;Man-6;2WD;Gasoline;2016
FORD;Fusion;1.5;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Fusion;2;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Fusion;2;4;SemiAuto-6;4WD;Gasoline;2016
FORD;Fusion;2.5;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Fusion Energi Plug-in Hybrid;2;4;CVT;2WD;Gasoline/Electricity;2016
FORD;Fusion Hybrid;2;4;CVT;2WD;Gasoline;2016
FORD;Mustang;2.3;4;Man-6;2WD;Gasoline;2016
FORD;Mustang;2.3;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Mustang;3.7;6;Man-6;2WD;Gasoline;2016
FORD;Mustang;3.7;6;SemiAuto-6;2WD;Gasoline;2016
FORD;Mustang;5;8;Man-6;2WD;Gasoline;2016
FORD;Mustang;5;8;SemiAuto-6;2WD;Gasoline;2016
FORD;Mustang Convertible;2.3;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Mustang Convertible;5;8;SemiAuto-6;2WD;Gasoline;2016
FORD;Shelby GT350 Mustang;5.2;8;Man-6;2WD;Gasoline;2016
FORD;Taurus;2;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Taurus;3.5;6;SemiAuto-6;2WD;Gasoline;2016
FORD;Taurus;3.5;6;SemiAuto-6;4WD;Gasoline;2016
FORD;Taurus FFV;3.5;6;SemiAuto-6;2WD;Ethanol/Gas;2016
FORD;Taurus FFV;3.5;6;SemiAuto-6;4WD;Ethanol/Gas;2016
FORD;Transit Connect;1.6;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Transit Connect;2.5;4;SemiAuto-6;2WD;Ethanol/Gas;2016
FORD;Transit Connect;2.5;4;SemiAuto-6;2WD;Gasoline;2016
FORD;Transit T150;3.5;6;SemiAuto-6;2WD;Gasoline;2016
FORD;Transit T150 FFV;3.7;6;SemiAuto-6;2WD;Ethanol/Gas;2016
GMC;Acadia;3.6;6;Auto-6;2WD;Gasoline;2016
GMC;Acadia;3.6;6;Auto-6;4WD;Gasoline;2016
GMC;Canyon;2.5;4;Auto-6;2WD;Gasoline;2016
GMC;Canyon;2.5;4;Auto-6;4WD;Gasoline;2016
GMC;Canyon;2.5;4;Man-6;2WD;Gasoline;2016
GMC;Canyon;2.8;4;Auto-6;2WD;Diesel;2016
GMC;Canyon;2.8;4;Auto-6;4WD;Diesel;2016
GMC;Canyon;3.6;6;Auto-6;2WD;Gasoline;2016
GMC;Canyon;3.6;6;Auto-6;4WD;Gasoline;2016
GMC;Savana 2500;6;8;Auto-6;2WD;Gasoline;2016
GMC;Savana 3500;6;8;Auto-6;2WD;Gasoline;2016
GMC;Sierra 15;4.3;6;Auto-6;2WD;Ethanol/Gas;2016
GMC;Sierra 15;4.3;6;Auto-6;4WD;Ethanol/Gas;2016
GMC;Sierra 15;5.3;8;Auto-6;2WD;Ethanol/Gas;2016
GMC;Sierra 15;5.3;8;Auto-6;2WD;Gasoline;2016
GMC;Sierra 15;5.3;8;Auto-6;4WD;Ethanol/Gas;2016
GMC;Sierra 15;5.3;8;Auto-6;4WD;Gasoline;2016
GMC;Sierra 15;5.3;8;Auto-8;2WD;Gasoline;2016
GMC;Sierra 15;5.3;8;Auto-8;4WD;Gasoline;2016
GMC;Sierra 15;6.2;8;Auto-8;2WD;Gasoline;2016
GMC;Sierra 15;6.2;8;Auto-8;4WD;Gasoline;2016
GMC;Terrain;2.4;4;Auto-6;2WD;Ethanol/Gas;2016
GMC;Terrain;2.4;4;Auto-6;2WD;Gasoline;2016
GMC;Terrain;2.4;4;Auto-6;4WD;Gasoline;2016
GMC;Terrain;3.6;6;Auto-6;2WD;Gasoline;2016
GMC;Terrain;3.6;6;Auto-6;4WD;Gasoline;2016
GMC;Yukon 1500;5.3;8;Auto-6;2WD;Ethanol/Gas;2016
GMC;Yukon 1500;5.3;8;Auto-6;2WD;Gasoline;2016
GMC;Yukon 1500;5.3;8;Auto-6;4WD;Ethanol/Gas;2016
GMC;Yukon 1500;5.3;8;Auto-6;4WD;Gasoline;2016
GMC;Yukon 1500;6.2;8;Auto-8;2WD;Gasoline;2016
GMC;Yukon 1500;6.2;8;Auto-8;4WD;Gasoline;2016
GMC;Yukon 1500 XL;5.3;8;Auto-6;2WD;Ethanol/Gas;2016
GMC;Yukon 1500 XL;5.3;8;Auto-6;2WD;Gasoline;2016
GMC;Yukon 1500 XL;6.2;8;Auto-8;2WD;Gasoline;2016
GMC;Yukon XL 1500;5.3;8;Auto-6;4WD;Ethanol/Gas;2016
GMC;Yukon XL 1500;5.3;8;Auto-6;4WD;Gasoline;2016
GMC;Yukon XL 1500;6.2;8;Auto-8;4WD;Gasoline;2016
HONDA;Accord;2.4;4;CVT;2WD;Gasoline;2016
HONDA;Accord;2.4;4;Man-6;2WD;Gasoline;2016
HONDA;Accord;2.4;4;SCV-7;2WD;Gasoline;2016
HONDA;Accord;3.5;6;Auto-6;2WD;Gasoline;2016
HONDA;Accord;3.5;6;Man-6;2WD;Gasoline;2016
HONDA;Accord;3.5;6;SemiAuto-6;2WD;Gasoline;2016
HONDA;CR-V;2.4;4;CVT;2WD;Gasoline;2016
HONDA;CR-V;2.4;4;CVT;4WD;Gasoline;2016
HONDA;CR-Z;1.5;4;Man-6;2WD;Gasoline;2016
HONDA;CR-Z;1.5;4;SCV-7;2WD;Gasoline;2016
HONDA;Civic 2Dr;1.5;4;CVT;2WD;Gasoline;2016
HONDA;Civic 2Dr;2;4;CVT;2WD;Gasoline;2016
HONDA;Civic 2Dr;2;4;Man-6;2WD;Gasoline;2016
HONDA;Civic 4Dr;1.5;4;CVT;2WD;Gasoline;2016
HONDA;Civic 4Dr;2;4;CVT;2WD;Gasoline;2016
HONDA;Civic 4Dr;2;4;Man-6;2WD;Gasoline;2016
HONDA;Fit;1.5;4;CVT;2WD;Gasoline;2016
HONDA;Fit;1.5;4;Man-6;2WD;Gasoline;2016
HONDA;Fit;1.5;4;SCV-7;2WD;Gasoline;2016
HONDA;HR-V;1.8;4;CVT;2WD;Gasoline;2016
HONDA;HR-V;1.8;4;CVT;4WD;Gasoline;2016
HONDA;HR-V;1.8;4;Man-6;2WD;Gasoline;2016
HONDA;HR-V;1.8;4;SCV-7;2WD;Gasoline;2016
HONDA;HR-V;1.8;4;SCV-7;4WD;Gasoline;2016
HONDA;Odyssey;3.5;6;Auto-6;2WD;Gasoline;2016
HONDA;Pilot;3.5;6;Auto-6;2WD;Gasoline;2016
HONDA;Pilot;3.5;6;Auto-6;4WD;Gasoline;2016
HONDA;Pilot;3.5;6;SemiAuto-9;2WD;Gasoline;2016
HONDA;Pilot;3.5;6;SemiAuto-9;4WD;Gasoline;2016
HYUNDAI;Accent;1.6;4;Man-6;2WD;Gasoline;2016
HYUNDAI;Accent;1.6;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Azera;3.3;6;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Azera Limited;3.3;6;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Elantra;1.8;4;Man-6;2WD;Gasoline;2016
HYUNDAI;Elantra;1.8;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Elantra;2;4;Man-6;2WD;Gasoline;2016
HYUNDAI;Elantra;2;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Elantra GT;2;4;Man-6;2WD;Gasoline;2016
HYUNDAI;Elantra GT;2;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Elantra Limited;1.8;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Equus;5;8;SemiAuto-8;2WD;Gasoline;2016
HYUNDAI;Genesis;3.8;6;SemiAuto-8;2WD;Gasoline;2016
HYUNDAI;Genesis;3.8;6;SemiAuto-8;4WD;Gasoline;2016
HYUNDAI;Genesis;5;8;SemiAuto-8;2WD;Gasoline;2016
HYUNDAI;Coupe;3.8;6;Man-6;2WD;Gasoline;2016
HYUNDAI;Coupe;3.8;6;SemiAuto-8;2WD;Gasoline;2016
HYUNDAI;Santa Fe;3.3;6;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Santa Fe;3.3;6;SemiAuto-6;4WD;Gasoline;2016
HYUNDAI;Santa Fe Sport;2;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Santa Fe Sport;2;4;SemiAuto-6;4WD;Gasoline;2016
HYUNDAI;Santa Fe Sport;2.4;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Santa Fe Sport;2.4;4;SemiAuto-6;4WD;Gasoline;2016
HYUNDAI;Santa Fe Sport Ultimate;2;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Santa Fe Ultimate;3.3;6;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Santa Fe Ultimate;3.3;6;SemiAuto-6;4WD;Gasoline;2016
HYUNDAI;Sonata;1.6;4;AutoMan-7;2WD;Gasoline;2016
HYUNDAI;Sonata;2;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Sonata;2.4;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Sonata Hybrid;2;4;AutoMan-6;2WD;Gasoline;2016
HYUNDAI;Sonata Hybrid SE;2;4;AutoMan-6;2WD;Gasoline;2016
HYUNDAI;Sonata Limited;2;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Sonata Sport/Limited;2.4;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Sonata plug-in hybrid;2;4;AutoMan-6;2WD;Gasoline/Electricity;2016
HYUNDAI;Tuscon;1.6;4;AutoMan-7;2WD;Gasoline;2016
HYUNDAI;Tuscon;1.6;4;AutoMan-7;4WD;Gasoline;2016
HYUNDAI;Tuscon;2;4;SemiAuto-6;2WD;Gasoline;2016
HYUNDAI;Tuscon;2;4;SemiAuto-6;4WD;Gasoline;2016
HYUNDAI;Tuscon Eco;1.6;4;AutoMan-7;2WD;Gasoline;2016
HYUNDAI;Tuscon Eco;1.6;4;AutoMan-7;4WD;Gasoline;2016
HYUNDAI;Tuscon Fuel Cell;N/A;N/A;Auto-1;2WD;Hydrogen;2016
HYUNDAI;Veloster;1.6;4;AutoMan-6;2WD;Gasoline;2016
HYUNDAI;Veloster;1.6;4;Man-6;2WD;Gasoline;2016
INFINITI;Q50;2;4;SemiAuto-7;2WD;Gasoline;2016
INFINITI;Q50;2;4;SemiAuto-7;4WD;Gasoline;2016
INFINITI;Q50;3;6;SemiAuto-7;2WD;Gasoline;2016
INFINITI;Q50;3;6;SemiAuto-7;4WD;Gasoline;2016
INFINITI;Q50 Hybrid;3.5;6;SemiAuto-7;2WD;Gasoline;2016
INFINITI;Q50 Hybrid;3.5;6;SemiAuto-7;4WD;Gasoline;2016
INFINITI;Q50S;3;6;SemiAuto-7;2WD;Gasoline;2016
INFINITI;Q50S;3;6;SemiAuto-7;4WD;Gasoline;2016
INFINITI;Q70;3.7;6;SemiAuto-7;2WD;Gasoline;2016
INFINITI;Q70;3.7;6;SemiAuto-7;4WD;Gasoline;2016
INFINITI;Q70;5.6;8;SemiAuto-7;2WD;Gasoline;2016
INFINITI;Q70;5.6;8;SemiAuto-7;4WD;Gasoline;2016
INFINITI;Q70 Hybrid;3.5;6;SemiAuto-7;2WD;Gasoline;2016
INFINITI;QX50;3.7;6;SemiAuto-7;2WD;Gasoline;2016
INFINITI;QX50;3.7;6;SemiAuto-7;4WD;Gasoline;2016
INFINITI;QX60;3.5;6;SCV-7;2WD;Gasoline;2016
INFINITI;QX60;3.5;6;SCV-7;4WD;Gasoline;2016
INFINITI;QX60 Hybrid;2.5;4;SCV-7;2WD;Gasoline;2016
INFINITI;QX60 Hybrid;2.5;4;SCV-7;4WD;Gasoline;2016
INFINITI;QX70;3.7;6;SemiAuto-7;2WD;Gasoline;2016
INFINITI;QX70;3.7;6;SemiAuto-7;4WD;Gasoline;2016
INFINITI;QX80;5.6;8;SemiAuto-7;2WD;Gasoline;2016
INFINITI;QX80;5.6;8;SemiAuto-7;4WD;Gasoline;2016
JAGUAR;F-Type Convertible;3;6;Man-6;2WD;Gasoline;2016
JAGUAR;F-Type Convertible;3;6;SemiAuto-8;2WD;Gasoline;2016
JAGUAR;F-Type Coupe;3;6;Man-6;2WD;Gasoline;2016
JAGUAR;F-Type Coupe;3;6;SemiAuto-8;2WD;Gasoline;2016
JAGUAR;F-Type R Convertible;5;8;SemiAuto-8;2WD;Gasoline;2016
JAGUAR;F-Type R Convertible;5;8;SemiAuto-8;4WD;Gasoline;2016
JAGUAR;F-Type R Coupe;5;8;SemiAuto-8;4WD;Gasoline;2016
JAGUAR;F-Type S Convertible;3;6;Man-6;2WD;Gasoline;2016
JAGUAR;F-Type S Convertible;3;6;SemiAuto-8;2WD;Gasoline;2016
JAGUAR;F-Type S Convertible;3;6;SemiAuto-8;4WD;Gasoline;2016
JAGUAR;F-Type S Coupe;3;6;Man-6;2WD;Gasoline;2016
JAGUAR;F-Type S Coupe;3;6;SemiAuto-8;2WD;Gasoline;2016
JAGUAR;F-Type S Coupe;3;6;SemiAuto-8;4WD;Gasoline;2016
JAGUAR;XF;3;6;SemiAuto-8;2WD;Gasoline;2016
JAGUAR;XF;3;6;SemiAuto-8;4WD;Gasoline;2016
JAGUAR;XJ;3;6;SemiAuto-8;2WD;Gasoline;2016
JAGUAR;XJ;3;6;SemiAuto-8;4WD;Gasoline;2016
JAGUAR;XJ;5;8;SemiAuto-8;2WD;Gasoline;2016
JAGUAR;XJL;3;6;SemiAuto-8;2WD;Gasoline;2016
JAGUAR;XJL;3;6;SemiAuto-8;4WD;Gasoline;2016
JAGUAR;XJL;5;8;SemiAuto-8;2WD;Gasoline;2016
JEEP;Cherokee;2.4;4;Auto-9;2WD;Ethanol/Gas;2016
JEEP;Cherokee;2.4;4;Auto-9;2WD;Gasoline;2016
JEEP;Cherokee;2.4;4;Auto-9;4WD;Ethanol/Gas;2016
JEEP;Cherokee;2.4;4;Auto-9;4WD;Gasoline;2016
JEEP;Cherokee;3.2;6;Auto-9;2WD;Gasoline;2016
JEEP;Cherokee;3.2;6;Auto-9;4WD;Gasoline;2016
JEEP;Cherokee 4x4 Active Drive II;2.4;4;Auto-9;4WD;Gasoline;2016
JEEP;Cherokee 4x4 Active Drive II;3.2;6;Auto-9;4WD;Gasoline;2016
JEEP;Cherokee Trailhawk;2.4;4;Auto-9;4WD;Gasoline;2016
JEEP;Cherokee Trailhawk;3.2;6;Auto-9;4WD;Gasoline;2016
JEEP;Compass;2;4;CVT;2WD;Gasoline;2016
JEEP;Compass;2;4;Man-5;2WD;Gasoline;2016
JEEP;Compass;2.4;4;Auto-6;2WD;Gasoline;2016
JEEP;Compass;2.4;4;Auto-6;4WD;Gasoline;2016
JEEP;Compass;2.4;4;CVT;4WD;Gasoline;2016
JEEP;Compass;2.4;4;Man-5;2WD;Gasoline;2016
JEEP;Compass;2.4;4;Man-5;4WD;Gasoline;2016
JEEP;Grand Cherokee;3.6;6;Auto-8;2WD;Gasoline;2016
JEEP;Grand Cherokee;3.6;6;Auto-8;4WD;Gasoline;2016
JEEP;Grand Cherokee;5.7;8;Auto-8;4WD;Gasoline;2016
JEEP;Grand Cherokee SRT8;6.4;8;Auto-8;4WD;Gasoline;2016
JEEP;Patriot;2;4;CVT;2WD;Gasoline;2016
JEEP;Patriot;2;4;Man-5;2WD;Gasoline;2016
JEEP;Patriot;2.4;4;Auto-6;2WD;Gasoline;2016
JEEP;Patriot;2.4;4;Auto-6;4WD;Gasoline;2016
JEEP;Patriot;2.4;4;CVT;4WD;Gasoline;2016
JEEP;Patriot;2.4;4;Man-5;2WD;Gasoline;2016
JEEP;Patriot;2.4;4;Man-5;4WD;Gasoline;2016
JEEP;Renegade;1.4;4;Man-6;2WD;Gasoline;2016
JEEP;Renegade;1.4;4;Man-6;4WD;Gasoline;2016
JEEP;Renegade;2.4;4;Auto-9;2WD;Ethanol/Gas;2016
JEEP;Renegade;2.4;4;Auto-9;4WD;Gasoline;2016
JEEP;Wrangler;3.6;6;Auto-5;4WD;Gasoline;2016
JEEP;Wrangler;3.6;6;Man-6;4WD;Gasoline;2016
JEEP;Wrangler Unlimited;3.6;6;Auto-5;4WD;Gasoline;2016
JEEP;Wrangler Unlimited;3.6;6;Man-6;4WD;Gasoline;2016
KIA;Cadenza;3.3;6;SemiAuto-6;2WD;Gasoline;2016
KIA;Forte;1.8;4;Man-6;2WD;Gasoline;2016
KIA;Forte;1.8;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Forte;2;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Forte 5;1.6;4;Man-6;2WD;Gasoline;2016
KIA;Forte 5;1.6;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Forte 5;2;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Forte Koup;1.6;4;Man-6;2WD;Gasoline;2016
KIA;Forte Koup;1.6;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Forte Koup;2;4;Man-6;2WD;Gasoline;2016
KIA;Forte Koup;2;4;SemiAuto-6;2WD;Gasoline;2016
KIA;K900;5;8;SemiAuto-8;2WD;Gasoline;2016
KIA;Optima;1.6;4;AutoMan-7;2WD;Gasoline;2016
KIA;Optima;2;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Optima;2.4;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Optima FE;2;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Optima FE;2.4;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Optima Hybrid;2.4;4;AutoMan-6;2WD;Gasoline;2016
KIA;Optima Hybrid EX;2.4;4;AutoMan-6;2WD;Gasoline;2016
KIA;Rio;1.6;4;Man-6;2WD;Gasoline;2016
KIA;Rio;1.6;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Rio ECO;1.6;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Sedona;3.3;6;SemiAuto-6;2WD;Gasoline;2016
KIA;Sedona SX;3.3;6;SemiAuto-6;2WD;Gasoline;2016
KIA;Sedona SXL;3.3;6;SemiAuto-6;2WD;Gasoline;2016
KIA;Sorento;2;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Sorento;2;4;SemiAuto-6;4WD;Gasoline;2016
KIA;Sorento;2.4;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Sorento;2.4;4;SemiAuto-6;4WD;Gasoline;2016
KIA;Sorento;3.3;6;SemiAuto-6;2WD;Gasoline;2016
KIA;Sorento;3.3;6;SemiAuto-6;4WD;Gasoline;2016
KIA;Sorento FE;3.3;6;SemiAuto-6;4WD;Gasoline;2016
KIA;Soul;1.6;4;Man-6;2WD;Gasoline;2016
KIA;Soul;1.6;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Soul;2;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Soul ECO dynamics;2;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Soul Electric;N/A;N/A;Auto-1;2WD;Electricity;2016
KIA;Sportage;2.4;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Sportage;2.4;4;SemiAuto-6;4WD;Gasoline;2016
KIA;Sportage SX;2;4;SemiAuto-6;2WD;Gasoline;2016
KIA;Sportage SX;2;4;SemiAuto-6;4WD;Gasoline;2016
LAMBORGHINI;Aventador Coupe;6.5;12;AMS-7;4WD;Gasoline;2016
LAMBORGHINI;Aventador Roadster;6.5;12;AMS-7;4WD;Gasoline;2016
LAMBORGHINI;Huracan;5.2;10;AMS-7;4WD;Gasoline;2016
LAMBORGHINI;Huracan Spyder;5.2;10;AMS-7;4WD;Gasoline;2016
LAND ROVER;Discovery Sport;2;4;SemiAuto-9;4WD;Gasoline;2016
LAND ROVER;LR4;3;6;SemiAuto-8;4WD;Gasoline;2016
LAND ROVER;Range Rover;3;6;SemiAuto-8;4WD;Gasoline;2016
LAND ROVER;Range Rover;5;8;SemiAuto-8;4WD;Gasoline;2016
LAND ROVER;Range Rover Evoque;2;4;SemiAuto-9;4WD;Gasoline;2016
LAND ROVER;Range Rover Evoque Convertible;2;4;SemiAuto-9;4WD;Gasoline;2016
LAND ROVER;Range Rover LWB;3;6;SemiAuto-8;4WD;Gasoline;2016
LAND ROVER;Range Rover LWB;5;8;SemiAuto-8;4WD;Gasoline;2016
LAND ROVER;Range Rover Sport;3;6;SemiAuto-8;4WD;Gasoline;2016
LAND ROVER;Range Rover Sport;5;8;SemiAuto-8;4WD;Gasoline;2016
LAND ROVER;Range Rover Sport TDV6;3;6;SemiAuto-8;4WD;Diesel;2016
LAND ROVER;Range Rover TDV6;3;6;SemiAuto-8;4WD;Diesel;2016
LEXUS;CT 200h;1.8;4;CVT;2WD;Gasoline;2016
LEXUS;ES 300h;2.5;4;SCV-6;2WD;Gasoline;2016
LEXUS;ES 350;3.5;6;SemiAuto-6;2WD;Gasoline;2016
LEXUS;GS 200t;2;4;SemiAuto-8;2WD;Gasoline;2016
LEXUS;GS 200t F Sport;2;4;SemiAuto-8;2WD;Gasoline;2016
LEXUS;GS 350;3.5;6;SemiAuto-6;4WD;Gasoline;2016
LEXUS;GS 350;3.5;6;SemiAuto-8;2WD;Gasoline;2016
LEXUS;GS 350 F Sport;3.5;6;SemiAuto-8;2WD;Gasoline;2016
LEXUS;GS 450h;3.5;6;SCV-8;2WD;Gasoline;2016
LEXUS;GS F;5;8;SemiAuto-8;2WD;Gasoline;2016
LEXUS;GX 460;4.6;8;SemiAuto-6;4WD;Gasoline;2016
LEXUS;IS 200t;2;4;SemiAuto-8;2WD;Gasoline;2016
LEXUS;IS 300;3.5;6;SemiAuto-6;4WD;Gasoline;2016
LEXUS;IS 350;3.5;6;SemiAuto-6;4WD;Gasoline;2016
LEXUS;IS 350;3.5;6;SemiAuto-8;2WD;Gasoline;2016
LEXUS;LS 460;4.6;8;SemiAuto-8;2WD;Gasoline;2016
LEXUS;LS 460;4.6;8;SemiAuto-8;4WD;Gasoline;2016
LEXUS;LS 460 L;4.6;8;SemiAuto-8;2WD;Gasoline;2016
LEXUS;LS 460 L;4.6;8;SemiAuto-8;4WD;Gasoline;2016
LEXUS;LS 600h L;5;8;SCV-8;4WD;Gasoline;2016
LEXUS;LX 570;5.7;8;SemiAuto-8;4WD;Gasoline;2016
LEXUS;NX 200t;2;4;SemiAuto-6;2WD;Gasoline;2016
LEXUS;NX 200t;2;4;SemiAuto-6;4WD;Gasoline;2016
LEXUS;NX 200t F Sport;2;4;SemiAuto-6;4WD;Gasoline;2016
LEXUS;NX 300h;2.5;4;SCV-6;2WD;Gasoline;2016
LEXUS;NX 300h;2.5;4;SCV-6;4WD;Gasoline;2016
LEXUS;RC 200t;2;4;SemiAuto-8;2WD;Gasoline;2016
LEXUS;RC 300;3.5;6;SemiAuto-6;4WD;Gasoline;2016
LEXUS;RC 350;3.5;6;SemiAuto-6;4WD;Gasoline;2016
LEXUS;RC 350;3.5;6;SemiAuto-8;2WD;Gasoline;2016
LEXUS;RC F;5;8;SemiAuto-8;2WD;Gasoline;2016
LEXUS;RX 350;3.5;6;SemiAuto-8;2WD;Gasoline;2016
LEXUS;RX 350;3.5;6;SemiAuto-8;4WD;Gasoline;2016
LEXUS;RX 450h;3.5;6;SCV-6;2WD;Gasoline;2016
LEXUS;RX 450h;3.5;6;SCV-6;4WD;Gasoline;2016
LINCOLN;MKC;2;4;SemiAuto-6;2WD;Gasoline;2016
LINCOLN;MKC;2;4;SemiAuto-6;4WD;Gasoline;2016
LINCOLN;MKC;2.3;4;SemiAuto-6;4WD;Gasoline;2016
LINCOLN;MKS;3.5;6;SemiAuto-6;4WD;Gasoline;2016
LINCOLN;MKS;3.7;6;SemiAuto-6;2WD;Gasoline;2016
LINCOLN;MKS;3.7;6;SemiAuto-6;4WD;Gasoline;2016
LINCOLN;MKT;3.5;6;SemiAuto-6;4WD;Gasoline;2016
LINCOLN;MKT;3.7;6;SemiAuto-6;2WD;Gasoline;2016
LINCOLN;MKT Livery;2;4;SemiAuto-6;2WD;Gasoline;2016
